original_name,program_class,program_genre,content_id,duration_median
gravity,MOVIE,Drama,561,97.0
grease,MOVIE,"Comedy, Drama",562,41.5
green lantern: emerald knights,MOVIE,Animation,563,53.0
greetings from tim buckley,MOVIE,Drama,564,32.0
grey's anatomy (T),SERIES/EPISODES,Drama,565,345.5
gridiron gang,MOVIE,Drama,566,92.0
grown ups,MOVIE,Comedy,567,80.0
grudge match,MOVIE,Comedy,568,253.0
guardians of the galaxy  vol.,MOVIE,Action,569,90.0
guardians of the tomb,MOVIE,Action,570,70.0
guess who,MOVIE,Comedy,571,62.0
gulliver's travels,MOVIE,Comedy,572,97.0
gutshot traight,MOVIE,Thriller,573,83.0
hal manayer (T),SERIES/EPISODES,Drama,574,5598.0
halat e’eshq (T),SERIES/EPISODES,Drama,575,86.0
hall pass,MOVIE,Comedy,576,90.0
